OBJECTID,GEOID10,Lead Paint,Diesel Particulate Matter,Air Toxics Cancer Risk,Air Toxics Respiratory HI,Traffic Proximity,Wastewater Discharge,Superfund Proximity,RMP Facility Proximity,Hazardous Waste Proximity,Ozone,Particulater Patter 2.5,Underground Storage Tanks
40425,110010059001,72.73,80.20,73.18,72.97,97.58,66.40,85.21,75.78,97.22,70.54,70.20,87.58
40426,110010062021,62.92,48.98,55.30,55.29,7.71,37.74,41.37,51.14,9.33,57.04,57.06,33.72
40427,110010064001,91.81,91.05,89.08,88.76,95.93,82.70,97.11,73.98,98.53,85.29,84.20,98.92
40428,110010064002,91.70,89.20,86.55,86.15,93.51,82.46,96.32,72.23,97.55,82.65,81.60,95.87
40429,110010065001,9.69,18.86,34.94,34.61,6.75,29.09,5.71,27.55,0.91,44.65,44.08,9.86
40430,110010065002,12.40,23.43,39.68,39.28,0.78,29.44,7.29,32.13,1.38,47.80,47.38,12.47
40431,110010066001,0.12,1.71,5.82,5.88,1.80,23.39,0.85,9.17,0.09,13.31,12.41,1.70
40432,110010067001,6.40,16.68,29.42,29.12,10.39,30.06,3.37,23.46,1.33,40.61,39.68,3.01
40433,110010067002,0.64,3.64,9.01,9.02,2.73,23.22,0.83,11.94,0.26,18.56,17.38,0.66
40434,110010067003,0.20,2.41,6.35,6.41,1.39,22.74,0.65,9.99,0.14,14.34,13.26,1.92
40435,110010068011,68.31,60.80,59.18,59.52,66.67,67.62,69.19,60.28,70.96,59.89,59.90,70.83
40436,110010068012,23.17,38.20,51.48,48.60,14.69,40.10,12.86,40.42,8.07,53.28,53.06,8.54
40437,110010068021,15.17,29.99,42.18,41.72,12.27,30.95,5.94,37.12,4.71,49.43,48.96,2.97
40438,110010068022,0.96,5.67,11.64,11.61,1.73,19.72,0.46,24.42,0.62,22.26,20.96,0.23
40439,110010068041,99.84,97.24,95.44,97.50,84.70,89.20,99.47,82.32,98.82,95.93,95.09,96.89
40440,110010069001,6.17,10.82,28.02,20.23,4.20,24.60,1.28,19.47,0.57,32.38,31.18,0.41
40441,110010069002,2.65,7.44,22.63,15.13,2.83,21.39,0.49,22.74,0.59,26.71,25.48,0.17
40442,110010070001,3.47,5.01,12.96,12.86,0.02,22.96,0.88,15.99,0.29,23.82,22.74,8.80
40443,110010070002,2.04,5.39,13.71,13.65,0.02,22.17,0.40,19.81,0.35,24.79,23.76,0.88
40444,110010071001,80.54,70.60,66.41,66.37,94.28,79.86,96.69,63.77,86.83,65.05,64.98,77.53
40445,110010071002,94.98,93.80,93.17,92.90,99.56,85.23,99.79,78.29,98.95,89.95,88.81,99.05
40446,110010072001,38.38,0.51,1.67,1.78,0.00,17.09,0.24,6.95,0.04,4.32,3.96,0.02
40447,110010072002,39.24,12.91,25.84,25.62,0.12,22.97,1.86,35.69,0.51,37.50,36.65,0.87
40448,110010073011,69.34,73.21,70.57,70.36,89.32,80.48,80.65,68.87,82.31,68.27,67.96,74.18
40449,110010073041,94.09,97.76,97.25,98.65,95.87,86.76,98.39,82.76,97.01,97.67,96.83,89.54
40450,110010073042,92.20,86.12,80.76,84.96,90.43,81.76,92.58,72.87,90.02,81.30,80.29,74.48
40451,110010073043,87.88,81.39,75.35,79.04,89.39,80.58,89.18,70.26,87.30,75.72,75.02,71.52
40452,110010074011,95.75,87.62,82.04,86.31,99.49,82.55,96.92,71.70,94.21,82.72,81.74,95.85
40453,110010074012,83.47,90.13,85.45,89.65,97.02,82.26,97.38,73.54,94.79,86.15,85.09,84.59
40454,110010074031,93.51,97.05,96.29,96.55,97.95,83.88,98.42,79.92,96.84,96.76,95.76,77.41
40455,110010074041,87.05,92.91,90.04,93.62,96.41,80.59,97.43,75.42,94.61,90.81,89.49,74.65
40456,110010074042,87.66,88.72,83.99,88.31,91.75,80.23,95.28,73.06,91.91,84.61,83.59,73.21
40457,110010074043,70.65,70.64,65.58,67.50,82.81,73.84,82.87,63.51,79.93,65.94,65.80,69.56
40458,110010074061,85.61,96.83,98.00,97.86,97.01,84.46,99.17,79.83,97.98,96.49,95.48,92.07
40459,110010074062,90.82,94.32,95.59,95.28,97.08,79.58,98.31,77.24,96.00,92.94,91.69,87.00
40460,110010074071,84.36,89.57,84.90,89.16,93.24,78.32,96.99,72.47,93.80,85.57,84.56,63.67
40461,110010074072,93.28,94.75,92.58,95.61,97.32,84.12,98.95,76.81,97.21,93.33,92.14,95.11
40462,110010074081,97.96,98.65,98.40,98.58,99.36,84.30,99.19,81.86,98.44,98.64,98.12,95.76
40463,110010074091,93.03,85.64,80.22,80.83,94.01,82.25,92.65,70.15,89.67,80.73,79.80,63.67
40464,110010074092,92.28,94.69,92.73,93.25,93.91,85.15,97.27,77.19,95.17,93.45,92.20,63.67
40465,110010074093,91.68,92.80,89.91,90.58,89.87,84.79,96.41,76.07,93.73,90.67,89.31,76.62
40466,110010075021,99.84,99.13,99.03,99.12,98.87,82.62,99.62,83.36,99.61,99.15,98.85,98.98
40467,110010075022,91.02,93.83,91.44,92.05,97.21,82.22,97.52,75.02,95.68,92.16,90.98,94.88
40468,110010075031,93.65,85.62,79.60,83.74,98.53,82.84,98.11,70.31,94.02,80.12,79.33,94.74
40469,110010075032,96.64,93.50,90.41,93.87,94.41,84.01,99.00,75.35,97.04,91.17,89.89,98.39
40470,110010075041,99.48,98.38,97.93,98.16,91.92,85.40,99.66,81.51,99.04,98.26,97.67,93.49
40471,110010076011,81.71,77.14,70.31,73.21,98.26,81.97,95.28,66.45,89.03,70.56,70.33,84.16
40472,110010076012,88.55,78.09,71.17,74.20,94.17,80.54,94.21,66.54,88.84,71.34,71.13,89.00
40473,110010076013,98.34,93.91,90.50,93.95,99.35,85.68,99.45,76.55,97.59,91.22,90.05,82.55
40474,110010076014,91.35,87.31,81.00,85.20,98.38,83.95,98.97,71.64,95.07,81.51,80.74,63.67
40475,110010076015,90.00,82.94,75.91,79.65,98.67,82.90,98.31,68.96,93.01,76.25,75.74,91.19
40476,110010076031,97.72,90.79,86.88,87.54,96.29,82.22,95.59,72.86,94.04,87.49,86.37,82.81
40477,110010076032,86.37,76.77,70.73,71.16,87.46,76.83,88.16,65.16,86.56,70.90,70.61,77.94
40478,110010076033,96.41,86.49,81.07,81.73,92.89,81.22,93.56,69.58,91.61,81.55,80.67,63.67
40479,110010076034,96.39,87.91,82.85,83.55,92.50,80.94,94.90,70.30,92.38,83.44,82.49,85.60
40480,110010076041,96.45,92.96,89.31,93.03,97.65,83.97,98.55,75.42,96.69,90.04,88.88,96.64
40481,110010076042,87.28,78.28,71.62,74.77,88.43,76.54,90.39,65.92,89.68,71.76,71.52,82.86
40482,110010076043,91.12,83.67,77.05,80.94,91.76,80.53,94.91,69.05,92.60,77.43,76.86,90.34
40483,110010076051,87.71,75.48,69.15,71.84,82.67,78.98,93.24,65.29,87.27,69.41,69.23,63.67
40484,110010076052,97.92,96.28,94.66,97.03,97.42,83.87,99.22,78.33,98.42,95.24,94.23,96.82
40485,110010076053,92.03,88.37,82.87,87.20,95.56,83.01,98.67,72.14,95.34,83.48,82.59,92.45
40486,110010077031,91.42,88.59,82.90,83.60,91.55,78.64,92.57,85.86,92.71,83.41,82.71,95.89
40487,110010077032,98.68,97.66,96.66,96.95,97.71,82.90,98.18,91.17,98.06,97.08,96.34,98.97
40488,110010077033,99.67,98.64,98.10,98.32,97.29,84.48,98.89,84.29,98.69,98.38,97.89,98.12
40489,110010077034,91.30,87.45,81.50,82.13,95.33,81.12,94.15,74.63,92.95,81.91,81.29,93.85
40490,110010077071,98.79,98.13,97.93,98.15,98.54,82.05,97.91,92.97,98.28,98.23,97.65,92.11
40491,110010077072,96.62,88.63,84.50,85.20,90.71,78.41,93.27,76.41,93.23,85.07,84.18,85.90
40492,110010077081,98.51,97.95,95.56,97.57,99.91,85.00,98.28,87.29,97.96,96.00,95.17,98.30
40493,110010077082,94.84,91.74,84.31,88.61,98.55,82.97,95.99,75.10,94.02,84.84,84.19,63.67
40494,110010077091,96.28,90.91,85.34,89.54,99.35,84.25,97.68,74.24,95.09,85.87,85.10,85.70
40495,110010077092,95.78,90.50,84.67,88.94,98.53,83.87,97.63,73.51,95.08,85.25,84.49,95.72
40496,110010078031,89.60,90.30,85.94,86.62,99.24,77.86,93.24,90.14,94.44,86.50,85.68,97.79
40497,110010078032,89.83,84.86,78.96,79.57,81.52,74.91,88.88,85.79,89.86,79.37,78.82,84.80
40498,110010078033,82.96,75.87,69.74,70.17,86.36,75.25,81.96,78.60,84.06,69.95,69.80,83.36
40499,110010078034,93.47,90.27,85.90,86.57,92.69,78.40,93.20,88.87,94.34,86.46,85.65,96.56
40500,110010078041,98.30,93.98,91.78,92.38,95.67,71.97,94.81,93.84,94.74,92.52,91.38,95.71
40501,110010078042,93.89,92.15,89.06,89.74,90.53,60.88,93.38,92.29,93.24,89.80,88.65,88.23
40502,110010078043,91.94,85.74,80.43,81.05,93.52,75.83,89.50,86.38,89.63,80.92,80.16,87.28
40503,110010078061,90.80,85.00,78.76,79.37,90.78,60.94,86.73,89.95,90.35,79.25,78.55,83.98
40504,110010078062,91.89,88.91,83.52,84.25,96.53,65.66,90.39,91.23,91.90,84.21,83.30,93.40
40505,110010078071,95.39,90.09,85.58,86.23,94.24,60.89,90.20,93.32,90.90,86.24,85.15,96.69
40506,110010078072,85.47,84.38,78.27,78.90,88.73,60.83,86.22,89.66,87.95,78.77,77.97,93.53
40507,110010078081,93.06,96.24,95.36,95.70,94.30,61.00,96.02,95.48,95.36,95.87,94.82,98.06
40508,110010078082,88.07,86.94,82.12,82.76,95.02,60.77,88.00,90.98,89.43,82.75,81.75,94.38
40509,110010078083,86.29,75.74,70.04,70.47,79.78,60.60,79.99,82.12,81.64,70.30,69.98,85.76
40510,110010078091,97.87,92.06,88.27,88.93,92.32,60.98,92.40,93.94,93.32,89.01,87.91,91.18
40511,110010078092,92.93,88.12,82.63,83.31,95.30,68.21,90.31,89.57,91.23,83.29,82.39,90.30
40512,110010079011,88.82,81.55,73.62,77.12,94.19,74.43,90.80,78.87,94.18,73.93,73.63,90.23
40513,110010079012,77.54,69.57,63.95,65.52,79.87,70.94,81.32,67.80,85.01,64.43,64.39,63.67
40514,110010079013,93.17,87.71,80.39,84.57,91.43,75.07,95.50,81.57,96.77,80.93,80.29,63.67
40515,110010079014,94.81,89.93,83.24,87.56,96.77,75.67,95.72,84.07,97.98,83.93,83.16,92.84
40516,110010079031,93.58,85.25,77.79,81.81,93.60,76.64,93.53,81.18,94.86,78.27,77.77,91.24
40517,110010080011,8.91,21.11,34.13,33.75,2.88,38.30,9.40,21.32,1.49,44.13,43.34,2.93
40518,110010080012,2.32,9.99,19.94,19.71,3.97,36.26,3.97,14.55,0.65,31.75,30.49,3.34
40519,110010080013,15.87,32.17,44.97,44.63,17.02,40.92,13.63,32.42,3.89,51.01,50.68,34.17
40520,110010080021,22.97,33.29,45.37,45.06,13.91,39.35,12.10,35.20,5.35,51.28,50.96,19.52
40521,110010080022,0.25,2.38,5.63,5.68,1.82,32.52,0.97,8.38,0.23,13.09,12.02,3.23
40522,110010081001,9.05,16.86,31.15,30.83,5.35,39.06,7.15,20.07,1.00,41.91,41.08,28.03
40523,110010081002,0.59,3.45,9.74,9.67,1.66,27.93,1.68,10.08,0.25,19.52,18.34,12.59
40524,110010081003,3.53,10.32,22.45,22.24,4.65,27.52,3.13,17.64,0.55,34.24,33.19,17.46
40525,110010082001,0.49,3.46,11.11,11.03,2.18,25.85,1.68,11.55,0.22,21.25,20.25,12.07
40526,110010082002,1.04,3.82,12.02,11.95,1.65,26.27,2.23,11.70,0.24,22.46,21.44,2.74
40527,110010083011,6.80,5.17,15.44,15.34,2.39,31.99,4.11,10.46,0.28,26.66,25.65,8.70
40528,110010083012,1.10,4.36,13.63,13.55,1.66,27.56,3.16,10.84,0.26,24.48,23.48,5.35
40529,110010083021,0.13,1.32,4.68,4.66,0.83,26.14,1.29,5.73,0.10,10.99,10.19,13.00
40530,110010084021,13.34,18.31,32.87,32.54,2.72,38.95,9.11,19.46,1.19,43.17,42.38,2.98
40531,110010084022,63.37,58.46,58.28,58.28,59.81,62.99,59.13,58.56,63.13,59.03,59.03,64.93
40532,110010084101,8.83,18.15,33.03,32.69,2.03,39.23,10.46,17.40,1.03,43.24,42.50,3.92
40533,110010087011,39.18,52.37,56.15,56.14,17.09,,47.63,42.81,15.71,57.59,57.58,16.70
40534,110010087012,79.19,69.22,64.73,64.66,87.52,,73.45,76.47,88.45,63.84,63.76,81.14
40535,110010087021,93.73,87.23,82.95,82.59,93.64,,88.82,91.81,97.94,79.35,78.50,96.81
40536,110010087022,67.50,64.86,61.83,61.76,70.74,,69.11,70.69,82.70,61.59,61.56,85.29
40537,110010088021,79.65,71.46,66.70,66.63,83.89,70.61,79.62,72.98,88.31,65.31,65.26,85.43
40538,110010088022,91.55,87.63,83.78,83.44,96.15,74.49,93.26,83.52,97.71,79.97,79.26,97.00
40539,110010088023,90.11,81.99,76.94,76.74,91.76,72.51,88.88,81.13,95.48,73.65,73.31,92.62
40540,110010088024,87.76,79.67,74.52,74.29,84.27,72.14,86.52,80.20,93.88,71.51,71.28,86.92
40541,110010088031,99.07,98.02,97.87,97.74,98.79,76.79,97.73,96.86,99.71,96.39,95.41,99.50
40542,110010088041,91.63,86.73,83.48,83.13,92.46,74.06,91.80,86.55,96.82,79.72,79.00,94.53
40543,110010088042,95.12,91.83,90.48,90.16,97.29,75.66,94.84,90.51,98.14,86.82,85.83,97.19
40544,110010089031,97.24,93.71,89.58,93.24,98.54,77.36,96.45,90.56,98.63,90.41,89.33,97.78
40545,110010089032,88.84,87.73,80.97,85.16,89.65,76.60,93.01,85.48,95.97,81.56,80.85,87.88
40546,110010089041,99.74,98.52,97.54,98.83,97.89,81.45,98.75,94.74,99.55,97.90,97.31,98.50
40547,110010089042,89.94,80.99,73.43,76.92,94.63,74.85,89.85,80.06,93.80,73.72,73.46,91.96
40548,110010090001,78.51,90.98,86.17,90.31,92.98,77.26,91.34,90.37,94.31,87.02,85.90,88.20
40549,110010090002,81.94,87.79,81.81,86.03,95.20,75.39,88.59,87.91,93.02,82.56,81.59,87.46
40550,110010091021,84.20,77.00,72.36,72.17,85.85,70.88,80.56,80.68,89.90,69.86,69.57,88.41
40551,110010091022,98.55,96.87,97.07,96.89,98.59,74.59,96.18,97.16,99.34,95.25,94.16,99.27
40552,110010091023,94.62,90.89,89.14,88.81,94.48,73.54,91.65,91.70,97.20,85.47,84.44,94.84
40553,110010092011,81.00,81.49,76.56,76.37,92.54,,82.68,84.11,95.63,73.52,72.99,87.53
40554,110010092031,94.00,88.11,84.26,83.93,96.82,,88.11,93.35,98.37,80.71,79.71,77.46
40555,110010092032,91.24,82.35,77.22,77.00,94.69,,84.52,88.50,96.55,74.14,73.54,92.29
40556,110010092041,84.42,74.38,69.33,69.16,87.68,,77.72,81.06,92.08,67.43,67.20,81.50
40557,110010092042,94.84,94.28,93.19,92.92,97.48,,93.49,95.45,99.38,90.31,88.91,98.96
40558,110010093011,79.09,67.76,64.09,64.02,72.03,61.78,70.49,70.12,81.12,63.34,63.25,76.29
40559,110010093012,78.51,66.93,63.48,63.41,76.09,61.09,69.85,70.54,83.95,62.85,62.80,77.12
40560,110010093013,82.10,71.10,66.71,66.65,81.11,67.36,74.48,74.87,85.41,65.40,65.26,80.12
40561,110010093014,9.15,24.36,37.02,36.66,12.71,56.23,23.91,16.06,2.92,45.85,45.50,16.79
40562,110010093021,87.35,80.97,76.05,75.86,93.70,,83.10,85.62,94.11,72.98,72.55,88.31
40563,110010094001,87.97,76.82,70.11,72.98,84.09,63.14,78.40,76.90,87.70,70.60,70.19,73.64
40564,110010094002,90.87,81.83,74.92,78.54,91.83,68.81,83.71,82.52,92.10,75.56,74.84,85.53
40565,110010094003,91.48,80.38,73.49,76.98,89.60,63.16,81.98,80.50,89.98,74.08,73.47,71.87
40566,110010094004,83.43,71.50,65.76,67.72,81.46,62.44,74.21,73.14,83.96,66.27,66.06,63.67
40567,110010095011,99.72,98.07,98.23,98.13,99.02,72.59,94.67,91.25,99.39,97.15,96.11,95.02
40568,110010095012,83.62,79.37,74.65,74.43,92.38,,79.01,76.62,92.43,71.90,71.39,77.60
40569,110010095013,96.06,94.72,94.13,93.84,95.21,62.49,92.07,90.08,98.86,91.57,90.03,96.23
40570,110010095031,89.60,80.76,73.49,76.98,88.80,63.53,80.39,77.81,90.90,74.15,73.48,74.69
40571,110010095032,79.57,67.60,62.95,64.26,80.70,62.04,69.90,69.12,80.62,63.54,63.44,68.24
40572,110010095033,17.75,36.13,49.97,46.34,5.99,56.34,34.18,27.96,8.30,51.79,51.72,24.91
40573,110010095041,81.46,70.79,66.60,66.54,82.91,62.05,72.94,71.69,86.24,65.36,65.17,75.20
40574,110010095042,87.99,82.86,78.85,78.53,88.19,63.12,82.03,79.23,93.00,75.64,74.87,72.16
40575,110010095051,90.92,79.04,72.88,73.41,93.21,62.86,78.35,69.99,90.52,73.62,72.88,94.16
40576,110010095052,82.46,72.34,66.83,67.21,86.96,70.85,72.54,65.24,85.87,67.45,67.09,85.98
40577,110010095053,89.95,84.56,78.81,79.42,96.35,69.41,82.65,77.55,94.23,79.91,78.72,97.36
40578,110010095071,97.87,92.03,88.71,89.38,95.26,64.13,88.77,83.26,97.05,90.07,88.41,98.12
40579,110010095081,80.51,79.19,76.33,76.15,93.34,72.12,79.09,75.00,92.01,73.44,72.77,90.89
40580,110010095082,96.03,86.75,85.66,85.26,88.94,63.76,84.61,79.67,94.78,82.20,80.90,93.12
40581,110010095083,89.82,89.87,89.71,89.40,91.74,64.24,87.24,82.14,96.14,86.41,85.00,82.83
40582,110010095091,90.69,78.67,71.87,75.06,89.06,63.17,78.88,74.78,90.40,72.48,71.90,77.15
40583,110010095092,88.22,77.42,70.74,73.68,86.31,62.88,78.28,74.69,89.85,71.28,70.76,76.28
40584,110010095093,83.16,73.77,67.55,69.88,76.92,62.50,74.98,71.64,87.35,68.12,67.77,73.81
40585,110010096011,99.29,95.78,93.79,96.44,99.51,78.86,95.44,96.48,95.92,94.53,93.45,91.45
40586,110010096021,93.61,94.65,91.70,94.92,99.81,78.53,95.74,93.48,96.38,92.37,91.43,98.51
40587,110010096022,97.14,95.46,92.97,95.88,76.88,80.58,96.08,94.23,96.83,93.60,92.71,92.25
40588,110010096031,97.49,95.46,92.90,93.41,98.18,81.03,96.39,92.11,97.39,93.52,92.62,99.24
40589,110010096032,87.77,78.94,72.00,72.51,94.48,77.83,86.41,80.21,90.30,72.13,72.01,95.62
40590,110010096033,96.25,90.06,84.65,85.34,99.48,81.65,94.52,86.45,95.40,85.18,84.49,98.21
40591,110010096041,95.66,88.94,86.72,86.34,99.52,84.55,94.31,80.16,94.40,82.51,81.97,95.92
40592,110010096042,92.59,83.71,80.03,79.66,97.84,82.16,90.26,78.90,93.38,76.14,75.88,96.21
40593,110010097001,97.92,96.91,96.12,97.94,97.21,85.69,97.46,82.99,95.49,96.62,95.51,92.71
40594,110010097002,82.05,80.79,74.72,78.35,90.38,77.89,85.98,71.29,84.00,75.08,74.38,84.67
40595,110010098011,96.81,96.28,94.94,97.20,94.44,87.09,96.84,83.29,94.69,95.54,94.33,98.97
40596,110010098021,94.44,90.50,86.36,90.47,92.02,83.53,93.00,78.22,90.21,87.06,85.71,63.67
40597,110010098022,94.34,89.67,85.16,89.40,89.97,81.92,92.17,78.14,89.72,85.84,84.58,63.67
40598,110010098031,84.48,85.12,84.22,83.90,92.91,81.68,90.52,74.63,89.02,80.31,79.28,81.84
40599,110010098032,88.82,85.95,85.32,84.95,86.53,85.07,90.16,76.32,88.27,81.33,80.26,97.32
40600,110010098033,90.17,87.35,87.10,86.73,95.77,82.62,91.34,77.11,89.54,83.12,81.92,96.21
40601,110010098041,94.57,94.40,92.32,95.40,96.30,83.66,96.79,80.07,94.95,93.10,91.73,89.24
40602,110010098042,84.22,83.40,77.51,81.49,88.20,80.44,89.92,72.58,88.52,78.04,77.15,81.95
40603,110010098071,87.45,80.04,75.01,78.64,96.29,78.36,85.63,74.66,84.51,75.40,74.61,92.48
40604,110010098072,99.32,94.81,93.86,96.48,96.56,83.00,95.34,87.33,95.19,94.61,93.26,98.98
40605,110010098101,92.00,92.90,90.38,93.85,88.47,85.38,94.14,82.66,92.65,91.18,89.62,99.02
40606,110010098102,91.81,90.19,86.46,90.57,93.30,84.99,92.14,81.30,91.00,87.16,85.78,98.45
40607,110010098111,98.27,95.32,96.59,96.35,93.02,83.71,95.57,84.51,95.15,94.42,93.05,98.78
40608,110010098112,96.40,97.09,98.21,98.09,96.50,82.41,96.87,85.67,95.78,96.86,95.75,97.56
40609,110010099011,90.73,83.67,76.55,80.39,93.95,80.98,94.28,69.31,91.48,76.90,76.39,87.84
40610,110010099012,91.95,86.29,79.56,83.71,85.90,78.74,93.99,70.13,93.02,79.98,79.37,79.57
40611,110010099021,89.44,79.77,73.93,74.49,91.30,78.23,87.31,67.91,87.43,74.14,73.74,77.35
40612,110010099022,97.87,89.93,86.03,86.69,95.92,81.16,94.85,73.11,93.34,86.58,85.65,86.05
40613,110010099031,79.52,85.02,79.91,80.52,93.38,75.75,87.31,86.93,88.30,80.42,79.58,63.67
40614,110010099032,91.69,81.01,75.37,76.01,90.91,74.96,85.14,83.53,85.54,75.71,75.13,63.67
40615,110010099041,85.97,86.93,82.25,82.90,92.77,76.67,90.83,86.36,90.78,82.82,81.95,63.67
40616,110010099042,94.22,95.04,93.65,94.12,94.17,79.30,95.90,91.99,95.54,94.31,93.22,85.87
40617,110010099051,85.90,81.83,76.39,77.05,86.08,75.57,86.32,83.42,86.68,76.77,76.14,63.67
40618,110010099052,92.11,83.12,77.79,78.44,89.39,75.92,86.69,84.36,87.62,78.25,77.52,63.67
40619,110010099053,92.52,88.34,84.24,84.96,90.82,77.76,91.27,85.30,91.88,84.87,83.90,84.18
40620,110010099061,97.27,92.30,89.59,90.27,97.52,78.77,94.70,90.17,94.16,90.30,89.17,91.89
40621,110010099071,89.77,79.29,73.49,74.05,76.42,75.55,86.75,74.77,87.30,73.68,73.38,73.96
40622,110010099072,99.68,94.87,93.29,93.79,92.30,79.26,96.41,89.97,96.12,93.94,92.89,92.71
40623,110010101001,20.54,10.02,24.67,24.46,0.18,32.30,12.48,17.31,0.20,35.96,35.37,1.52
40624,110010101002,79.55,74.78,68.17,68.03,96.27,74.61,76.82,70.57,95.86,66.53,66.31,84.94
40625,110010102001,38.62,26.50,41.97,41.52,0.22,44.65,15.50,36.19,1.27,49.13,48.89,10.74
40626,110010102002,42.80,14.79,29.39,29.10,0.57,41.59,8.48,28.12,0.50,40.33,39.76,9.96
40627,110010103001,83.97,71.32,68.29,68.13,85.41,76.44,70.91,63.68,86.98,66.76,66.40,79.94
40628,110010103002,86.74,79.76,77.47,77.25,89.11,77.29,77.06,66.84,94.49,74.60,73.71,86.14
40629,110010103003,90.26,83.05,81.43,81.04,91.69,78.34,79.76,68.95,94.16,78.24,77.09,84.32
40630,110010104001,99.52,96.43,95.33,97.42,99.54,82.16,97.75,82.55,96.97,95.87,94.76,92.33
40631,110010104002,99.55,96.95,96.13,97.94,99.35,81.87,98.34,82.29,97.71,96.64,95.59,88.38
40632,110010105001,86.36,92.59,89.17,88.85,99.72,70.35,96.73,80.23,99.04,85.41,84.36,97.64
40633,110010105002,20.20,9.82,22.79,22.59,0.03,43.42,5.35,22.52,0.41,34.47,33.70,3.90
40634,110010106001,90.76,82.64,75.89,75.68,92.22,71.58,87.75,81.21,95.86,72.78,72.40,95.63
40635,110010106002,12.59,1.26,4.61,4.59,0.66,40.42,2.01,3.53,0.10,10.71,10.05,0.06
40636,110010106003,76.68,71.74,66.04,65.96,84.40,69.18,79.26,71.65,90.82,64.83,64.70,84.49
40637,110010107001,50.34,56.63,57.63,57.63,31.23,44.34,56.13,57.08,22.49,58.58,58.59,36.15
40638,110010107002,51.09,57.47,57.91,57.91,38.28,46.43,57.27,57.62,30.81,58.78,58.78,42.24
40639,110010108001,76.09,84.51,77.91,77.67,96.85,78.66,83.75,70.18,99.32,74.75,74.05,93.36
40640,110010108002,83.84,87.25,81.21,80.81,96.25,78.20,86.56,75.05,99.22,77.74,76.86,90.93
40641,110010108003,70.37,65.35,61.73,61.68,81.54,72.98,67.27,61.00,88.20,61.54,61.49,77.05
40642,110010109001,93.20,94.29,93.38,96.15,88.68,84.19,94.77,87.47,95.16,94.14,92.71,97.03
40643,110010109002,96.71,92.55,90.99,94.31,95.77,83.58,92.77,89.47,93.22,91.76,90.19,89.68
40644,110010110001,76.94,75.10,70.54,70.34,77.88,69.07,86.26,65.00,91.76,68.29,68.03,76.14
40645,110010110002,29.41,17.48,28.79,28.52,11.84,39.83,7.78,39.95,0.88,39.95,39.33,12.59
40646,110010110003,24.24,16.12,27.09,26.87,5.65,40.18,7.25,38.51,0.60,38.55,37.87,5.29
40647,110010110004,43.25,20.92,32.79,32.48,9.48,43.22,8.34,41.64,1.06,43.04,42.54,5.78
40648,110010111001,94.07,84.85,82.56,82.24,93.85,74.47,86.56,84.59,91.97,78.79,78.10,92.25
40649,110010111002,97.99,91.87,91.74,91.48,95.81,74.23,91.73,89.55,96.29,88.31,87.22,93.92
40650,110010111003,92.25,91.20,90.86,90.55,95.46,75.78,92.76,89.97,96.54,87.22,86.19,94.00
